total_sqft,rooms,balcony,price
1800,2,2,70
2785,5,3,295
1000,2,1,38
1100,2,2,40
2250,3,2,148
1175,2,2,735
1180,3,2,48
1540,3,3,60
2770,4,2,290
1100,2,2,48
600,1,1,15
1755,3,1,122
2800,5,2,380
1767,3,1,103
510,1,0,2525
1250,3,2,56
660,1,1,231
1610,3,2,81
1151,2,2,4877
1025,2,1,47
1075,2,1,35
1760,2,2,123
1693,3,3,5739
700,2,1,36
1070,2,1,455
1724,3,2,125
1290,2,2,5612
1143,2,2,45
1254,3,2,38
600,1,0,38
660,1,0,48
133074,2,2,9179
970,2,0,33
1459,2,1,9482
800,1,1,130
869,2,1,36
1270,2,1,50
1670,3,1,99
2010,3,2,91
1185,2,2,75
1600,2,3,75
1200,2,2,44
1500,2,2,185
1407,4,1,150
840,2,2,45
4395,3,2,240
845,2,1,55
5700,5,3,650
1160,2,2,44
3000,8,0,140
1100,2,1,62
1140,2,3,43
1220,2,1,57
1350,7,0,85
1005,2,1,3668
500,3,2,100
1358,2,1,8058
1569,3,1,101
1240,2,1,70
2089,3,2,140
1206,2,1,4823
1150,2,3,40
2511,3,3,205
460,1,0,22
4400,6,3,250
1660,2,2,105
1326,2,2,78
1325,2,2,608
1499,5,2,102
3000,7,2,210
1665,3,2,88
708,2,2,37
1060,2,2,5806
710,6,3,160
1000,2,2,70
1000,2,1,2888
1450,2,2,70
1200,4,2,155
1296,2,3,80
1540,3,2,90
2894,4,1,245
1330,2,1,48
1200,2,1,65
1200,3,1,90
2502,3,3,138
650,1,1,17
2400,2,1,150
1007,2,2,43
1200,2,2,50
966,2,2,499
1630,2,1,98
1640,3,2,229
782,2,2,5568
1260,2,2,6678
1800,3,3,120
1413,2,2,75
1116,2,1,5191
1530,2,1,459
3700,4,1,225
2497,3,2,140
1540,2,3,64
1436,3,1,7475
1100,2,2,75
276,3,3,23
1427,3,2,120
2061,3,1,200
2650,4,2,150
1282,2,2,6852
1050,2,1,34
1600,3,2,65
945,2,1,54
1500,2,1,78
950,7,0,115
1870,3,3,110
1600,3,1,75
880,1,1,165
1200,4,0,210
1535,3,2,83
950,2,1,57
1360,2,1,65
